Code service CH,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Code type de voie,Type de voie,Code voie,Voie,Code ID commune,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,1,2020-02-03,Vente,56000.0,190.0,A,0,RUE,5,CENTRALE,0,1370.0,SAINT-ETIENNE-DU-BOIS,1,350,,B,1478,,22,50.42,,,,,,,,,1,2,Appartement,,52,2,,,
,,,,,,,1,2020-01-02,Vente,165000.0,347.0,,0,RUE,20,DU CHATEAU,1,1170.0,CHEVRY,1,103,,A,302,,12,48.22,,,,,,,,,2,2,Appartement,,48,3,,,
,,,,,,,1,2020-01-08,Vente,720000.0,58.0,,1,AV,527,DU MONT BLANC,2,1220.0,DIVONNE-LES-BAINS,1,143,,AK,563,,146,130.8,,,,,,,,,2,2,Appartement,,130,6,,,
,,,,,,,1,2020-01-06,Vente,429250.0,140.0,,0,RUE,2,DE L'ABBE JOLIVET,3,1630.0,PERON,1,288,,C,2307,,11,109.22,,,,,,,,,1,1,Maison,,109,5,,,
,,,,,,,1,2020-01-07,Vente,220900.0,39.0,,0,RUE,110,BUFFON,4,1200.0,VALSERHONE,1,33,,AE,440,,31,108.65,,,,,,,,,2,2,Appartement,,91,4,,,
,,,,,,,1,2020-01-21,Vente,42000.0,28.0,,1,AV,179,JEAN FALCONNIER,5,1350.0,CULOZ,1,138,,AP,357,,50,31.65,,,,,,,,,1,2,Appartement,,32,2,,,
,,,,,,,1,2020-01-07,Vente,262000.0,8.0,,0,RUE,120,DE GENEVE,6,1630.0,ST-GENIS-POUILLY,1,354,,BH,79,,11,52.58,,,,,,,,,1,2,Appartement,,52,2,,,
,,,,,,,1,2020-01-08,Vente,190000.0,2.0,,0,RUE,210,DU RECULET,6,1630.0,ST-GENIS-POUILLY,1,354,,AX,8,,304,58.71,,,,,,,,,1,2,Appartement,,60,2,,,
,,,,,,,1,2020-01-16,Vente,563130.0,1403.0,,0,RUE,465,JEAN DE GINGINS,2,1220.0,DIVONNE-LES-BAINS,1,143,,H,442,,14,93.23,,,,,,,,,3,1,Maison,,96,4,,,
,,,,,,,1,2020-01-17,Vente,535000.0,226.0,,2,ALL,36,DES CAPUCINES,6,1630.0,ST-GENIS-POUILLY,1,354,,AB,387,,21,117.0,,,,,,,,,1,1,Maison,,117,5,,,
