Code service CH,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,1,05/01/2021,Vente,18500000.0,5080.0,,CHE,0471,DE VOGELAS,1370.0,VAL-REVERMONT,1.0,426,312.0,ZC,122,,,,,,,,,,,,0,1.0,Maison,,97.0,5.0,S,,2410.0
,,,,,,,1,05/01/2021,Vente,18500000.0,5080.0,,CHE,0471,DE VOGELAS,1370.0,VAL-REVERMONT,1.0,426,312.0,ZC,122,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,2410.0
,,,,,,,1,06/01/2021,Vente,1000.0,,,,B043,ROUGEMONT,1290.0,BEY,1.0,42,,A,204,,,,,,,,,,,,0,,,,,,BT,,530.0
,,,,,,,1,04/01/2021,Vente,20433200.0,7.0,,ALL,0276,DES ECUREUILS,1310.0,BUELLAS,1.0,65,,B,1325,,,,,,,,,,,,0,1.0,Maison,,88.0,4.0,S,,866.0
,,,,,,,1,06/01/2021,Vente,32000000.0,87.0,,RTE,0140,DE CERTINES,1250.0,MONTAGNAT,1.0,254,,AZ,11,,,,,,,,,,,,0,1.0,Maison,,168.0,5.0,S,,1426.0
,,,,,,,1,06/01/2021,Vente,32000000.0,87.0,,RTE,0140,DE CERTINES,1250.0,MONTAGNAT,1.0,254,,AZ,11,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,1426.0
,,,,,,,2,04/01/2021,Vente,3630.0,,,,B077,COMBET MAILLET,1250.0,CORVEISSIAT,1.0,125,,C,1691,,,,,,,,,,,,0,,,,,,BT,,121.0
,,,,,,,1,04/01/2021,Vente,17600000.0,210.0,,RUE,0820,GEORGE SAND,1000.0,SAINT-DENIS-LES-BOURG,1.0,344,,AC,181,,39.0,,,,,,,,,,1,2.0,Appartement,,71.0,3.0,,,
,,,,,,,1,04/01/2021,Vente,17600000.0,210.0,,RUE,0820,GEORGE SAND,1000.0,SAINT-DENIS-LES-BOURG,1.0,344,,AC,181,,29.0,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,
,,,,,,,2,11/01/2021,Vente,40000.0,,,,B085,PRE BROUILLET,1310.0,MONTCET,1.0,259,,C,459,,,,,,,,,,,,0,,,,,,P,,460.0
