Valeurfonciere,Codepostal,Codedepartement,Surfacereellebati,Nombrepiecesprincipales,Typelocal_Appartement,Typelocal_Maison
104000.0,13012.0,13.0,32,2,1,0
305000.0,83150.0,83.0,51,2,1,0
211000.0,77400.0,77.0,78,3,1,0
234070.0,75009.0,75.0,18,1,1,0
65766.0,37300.0,37.0,28,2,1,0
260000.0,75015.0,75.0,24,1,1,0
152925.0,59700.0,59.0,87,5,1,0
141238.0,33100.0,33.0,32,1,1,0
168000.0,75015.0,75.0,24,1,1,0
367000.0,75015.0,75.0,38,2,1,0
405460.0,94220.0,94.0,55,3,1,0
629889.0,92300.0,92.0,63,3,1,0
641000.0,91310.0,91.0,150,4,0,1
210000.0,56270.0,56.0,60,3,1,0
281600.0,13010.0,13.0,90,4,1,0
264000.0,94700.0,94.0,71,3,1,0
164000.0,78955.0,78.0,38,2,1,0
301000.0,74220.0,74.0,45,3,1,0
86000.0,89000.0,89.0,57,3,1,0
205000.0,92260.0,92.0,41,2,1,0
140000.0,78220.0,78.0,31,2,1,0
76900.0,49100.0,49.0,20,1,1,0
147619.0,75012.0,75.0,18,1,1,0
196452.0,78100.0,78.0,31,1,1,0
120000.0,44230.0,44.0,46,2,1,0
378870.0,75014.0,75.0,38,2,1,0
128500.0,51000.0,51.0,58,2,1,0
53900.0,30000.0,30.0,40,1,1,0
270000.0,20000.0,0.0,49,2,1,0
93000.0,83140.0,83.0,27,1,1,0
141800.0,92800.0,92.0,35,1,1,0
273000.0,94230.0,94.0,52,2,1,0
359450.0,75011.0,75.0,33,2,1,0
161700.0,78370.0,78.0,44,2,1,0
205950.0,95130.0,95.0,82,4,1,0
124500.0,47240.0,47.0,83,4,0,1
237500.0,74960.0,74.0,49,3,1,0
652000.0,75019.0,75.0,81,3,1,0
767900.0,75009.0,75.0,61,3,1,0
1298500.0,75017.0,75.0,95,3,1,0
400000.0,94340.0,94.0,61,3,1,0
144420.0,69160.0,69.0,45,1,1,0
267550.0,54000.0,54.0,89,4,1,0
133000.0,56880.0,56.0,59,3,1,0
205000.0,83000.0,83.0,68,4,1,0
120250.0,5250.0,5.0,32,2,1,0
249500.0,40510.0,40.0,46,3,1,0
255000.0,93380.0,93.0,88,5,0,1
118000.0,91700.0,91.0,31,1,1,0
245000.0,42510.0,42.0,120,5,0,1
0.0,75004.0,75.0,23,1,1,0
104000.0,60000.0,60.0,36,2,1,0
143000.0,28110.0,28.0,72,3,1,0
210000.0,78260.0,78.0,76,4,1,0
325200.0,75014.0,75.0,33,2,1,0
1014150.0,75014.0,75.0,79,3,1,0
315000.0,94130.0,94.0,64,3,1,0
39500.0,89260.0,89.0,50,2,1,0
795000.0,78000.0,78.0,100,4,1,0
55000.0,42153.0,42.0,53,3,1,0
77500.0,39570.0,39.0,82,4,1,0
425000.0,13008.0,13.0,105,4,1,0
65000.0,71100.0,71.0,65,3,1,0
145000.0,77100.0,77.0,43,2,1,0
33000.0,50560.0,50.0,44,2,0,1
84750.0,34500.0,34.0,53,2,1,0
174200.0,91240.0,91.0,106,5,1,0
161000.0,91300.0,91.0,52,2,1,0
208200.0,75008.0,75.0,20,1,1,0
1552000.0,75017.0,75.0,166,5,1,0
142500.0,93340.0,93.0,42,2,1,0
697550.0,92100.0,92.0,77,4,1,0
77300.0,49340.0,49.0,63,2,0,1
185500.0,78260.0,78.0,66,3,1,0
120400.0,33240.0,33.0,69,3,0,1
30500.0,51000.0,51.0,30,1,1,0
73500.0,42000.0,42.0,62,3,1,0
215000.0,38500.0,38.0,100,4,1,0
220000.0,78330.0,78.0,80,4,1,0
123500.0,78600.0,78.0,24,1,1,0
153240.0,5000.0,5.0,61,3,1,0
137500.0,77100.0,77.0,41,2,1,0
196500.0,69250.0,69.0,52,2,1,0
285000.0,77590.0,77.0,32,1,1,0
150300.0,69190.0,69.0,67,3,1,0
1465750.0,92200.0,92.0,117,5,1,0
112000.0,77127.0,77.0,35,1,1,0
485000.0,92100.0,92.0,51,3,1,0
168000.0,59370.0,59.0,64,3,1,0
419000.0,93100.0,93.0,61,4,1,0
74100.0,38100.0,38.0,18,1,1,0
533550.0,33680.0,33.0,82,4,0,1
845000.0,92400.0,92.0,92,5,0,1
115500.0,59000.0,59.0,61,3,1,0
53070.0,9110.0,9.0,23,1,1,0
172950.0,38100.0,38.0,73,3,1,0
215300.0,35200.0,35.0,79,4,1,0
241300.0,77700.0,77.0,59,3,1,0
