,Ville,Prix m2 moyenappartement,Prix m2 moyenmaison,Loyer m2 moyenappartement,Loyer m2 moyenmaison
0,Paris,6 195 €,6 606 €,"18,8 €","16,9 €"
1,Boulogne-Billancourt,5 563 €,6 582 €,"17,2 €","17,0 €"
2,Saint-Denis,2 663 €,2 089 €,"12,7 €","10,7 €"
3,Argenteuil,2 302 €,2 170 €,"11,5 €","13,2 €"
4,Montreuil,4 653 €,3 978 €,"14,5 €","15,5 €"
5,Nanterre,3 456 €,4 010 €,"13,7 €","17,7 €"
6,Vitry-sur-Seine,2 692 €,2 713 €,"12,1 €","14,5 €"
7,Créteil,2 494 €,2 973 €,"11,6 €","14,8 €"
8,Asnières-sur-Seine,4 419 €,5 248 €,"14,1 €","17,5 €"
9,Versailles,5 468 €,5 426 €,"12,3 €","14,2 €"
10,Courbevoie,4 691 €,5 792 €,"15,0 €","18,2 €"
11,Colombes,3 343 €,4 435 €,"13,1 €","17,6 €"
12,Aulnay-sous-Bois,2 153 €,1 891 €,"11,5 €","12,6 €"
13,Aubervilliers,2 622 €,2 220 €,"12,7 €","16,9 €"
14,Rueil-Malmaison,3 708 €,4 510 €,"14,0 €","18,5 €"
15,Champigny-sur-Marne,2 613 €,2 405 €,"12,0 €","14,8 €"
16,Saint-Maur-des-Fossés,3 846 €,4 423 €,"12,7 €","15,5 €"
17,Drancy,2 038 €,1 928 €,"11,8 €","11,4 €"
18,Issy-les-Moulineaux,5 357 €,6 007 €,"16,4 €","17,2 €"
19,Levallois-Perret,5 969 €,6 019 €,"18,1 €","17,5 €"
